date,closeprice,volume
2018-03-06,273.3,81380.0
2018-03-07,274.5,159050.0
2018-03-08,274.0,130368.0
2018-03-09,272.55,119300.0
2018-03-12,272.5,155822.0
2018-03-13,272.3,91312.0
2018-03-14,272.75,144588.0
2018-03-15,272.5,86940.0
2018-03-16,271.35,112028.0
2018-03-19,270.05,133874.0
2018-03-20,271.2,94422.0
2018-03-21,271.15,104436.0
2018-03-22,273.5,214702.0
2018-03-23,276.5,222076.0
2018-03-26,276.15,176800.0
2018-03-27,275.8,132922.0
2018-03-28,274.2,137984.0
2018-03-29,271.05,197124.0
2018-03-30,271.55,77390.0
2018-04-02,271.75,73540.0
2018-04-03,273.75,159884.0
2018-04-04,273.4,139306.0
2018-04-09,272.55,63718.0
2018-04-10,272.7,119642.0
2018-04-11,274.3,144666.0
2018-04-12,275.2,281170.0
2018-04-13,273.15,170916.0
2018-04-16,274.25,175852.0
2018-04-17,274.65,109886.0
2018-04-18,274.5,123876.0
2018-04-19,275.2,155956.0
2018-04-20,273.85,142614.0
2018-04-23,272.55,185234.0
2018-04-24,271.85,154496.0
2018-04-25,271.6,134470.0
2018-04-26,271.9,112116.0
2018-04-27,271.15,167128.0
2018-05-02,270.4,80522.0
2018-05-03,270.4,118292.0
2018-05-04,270.8,98532.0
2018-05-07,271.35,71462.0
2018-05-08,271.3,38298.0
2018-05-09,271.05,39580.0
2018-05-10,271.25,18988.0
2018-05-11,271.5,19086.0
2018-05-14,271.4,14966.0
2018-05-15,270.3,13670.0
2018-05-16,267.6,24518.0
2018-05-17,266.3,16174.0
2018-05-18,266.6,10262.0
2018-05-21,265.9,14720.0
2018-05-22,266.55,16764.0
2018-05-23,266.95,12200.0
2018-05-24,268.4,24812.0
2018-05-25,269.45,12052.0
2018-05-28,268.45,8922.0
2018-05-29,269.1,7576.0
2018-05-30,269.9,8368.0
2018-05-31,269.85,5304.0
2018-06-01,268.75,2450.0
2018-06-04,267.3,960.0
2018-06-05,267.05,1206.0
2018-06-06,267.55,1026.0
2018-06-07,267.5,1536.0
2018-06-08,267.35,240.0
2018-06-11,268.2,462.0
2018-06-12,267.75,1080.0
2018-06-13,267.75,42.0
2018-06-14,267.7,18.0
2018-06-15,268.65,18.0
2018-06-19,,
2018-06-20,,
2018-06-21,,
2018-06-22,,
2018-06-25,,
2018-06-26,,
2018-06-27,,
2018-06-28,,
2018-06-29,,
2018-07-02,,
2018-07-03,,
2018-07-04,,
2018-07-05,,
2018-07-06,,
2018-07-09,,
2018-07-10,,
2018-07-11,,
2018-07-12,,
2018-07-13,,
2018-07-16,,
2018-07-17,,
2018-07-18,,
2018-07-19,,
2018-07-20,,
2018-07-23,,
2018-07-24,,
2018-07-25,,
2018-07-26,,
2018-07-27,,
2018-07-30,,
2018-07-31,,
2018-08-01,,
2018-08-02,,
2018-08-03,,
2018-08-06,,
2018-08-07,,
2018-08-08,,
2018-08-09,,
2018-08-10,,
2018-08-13,,
2018-08-14,,
2018-08-15,,
2018-08-16,,
2018-08-17,,
2018-08-20,,
2018-08-21,,
2018-08-22,,
2018-08-23,,
2018-08-24,,
2018-08-27,,
2018-08-28,,
2018-08-29,,
2018-08-30,,
2018-08-31,,
2018-09-03,,
2018-09-04,,
2018-09-05,,
2018-09-06,,
2018-09-07,,
2018-09-10,,
2018-09-11,,
2018-09-12,,
2018-09-13,,
2018-09-14,,
2018-09-17,,
2018-09-18,,
2018-09-19,,
2018-09-20,,
2018-09-21,,
2018-09-25,,
2018-09-26,,
2018-09-27,,
2018-09-28,,
2018-10-08,,
2018-10-09,,
2018-10-10,,
2018-10-11,,
2018-10-12,,
2018-10-15,,
2018-10-16,,
2018-10-17,,
2018-10-18,,
2018-10-19,,
2018-10-22,,
2018-10-23,,
2018-10-24,,
2018-10-25,,
2018-10-26,,
2018-10-29,,
2018-10-30,,
2018-10-31,,
2018-11-01,,
2018-11-02,,
2018-11-05,,
2018-11-06,,
2018-11-07,,
2018-11-08,,
2018-11-09,,
2018-11-12,,
2018-11-13,,
2018-11-14,,
2018-11-15,,
2018-11-16,,
2018-11-19,,
2018-11-20,,
2018-11-21,,
2018-11-22,,
2018-11-23,,
2018-11-26,,
2018-11-27,,
2018-11-28,,
2018-11-29,,
2018-11-30,,
2018-12-03,,
2018-12-04,,
2018-12-05,,
2018-12-06,,
2018-12-07,,
2018-12-10,,
2018-12-11,,
2018-12-12,,
2018-12-13,,
2018-12-14,,
2018-12-17,,
2018-12-18,,
2018-12-19,,
2018-12-20,,
2018-12-21,,
2018-12-24,,
2018-12-25,,
2018-12-26,,
2018-12-27,,
2018-12-28,,
2019-01-02,,
2019-01-03,,
2019-01-04,,
2019-01-07,,
2019-01-08,,
2019-01-09,,
2019-01-10,,
2019-01-11,,
2019-01-14,,
2019-01-15,,
2019-01-16,,
2019-01-17,,
2019-01-18,,
2019-01-21,,
2019-01-22,,
2019-01-23,,
2019-01-24,,
2019-01-25,,
2019-01-28,,
2019-01-29,,
2019-01-30,,
2019-01-31,,
2019-02-01,,
2019-02-11,,
2019-02-12,,
2019-02-13,,
2019-02-14,,
2019-02-15,,
2019-02-18,,
2019-02-19,,
2019-02-20,,
2019-02-21,,
2019-02-22,,
2019-02-25,,
2019-02-26,,
2019-02-27,,
2019-02-28,,
2019-03-01,,
2019-03-04,,
2019-03-05,,
2019-03-06,,
